job.id,submitted,started,done,error,mem.used,batch.id,log.file,job.hash,job.name,repl,time.queued,time.running,problem,algorithm,tags,learner_id
30,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.259100Z,2026-02-24T17:02:53.134700Z,,,7302694_30,job7db3566daef9fa85bcbe5d031b6e961c.log_30,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,30,1.35859990119934,75.8756000995636,ec3770ae7f439181,run_learner,,classif.cv_glmnet
31,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.259100Z,2026-02-24T17:02:53.794800Z,,,7302694_31,job7db3566daef9fa85bcbe5d031b6e961c.log_31,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,31,1.35859990119934,76.5357000827789,ec3770ae7f439181,run_learner,,classif.cv_glmnet
32,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:39.023800Z,2026-02-24T17:04:28.965300Z,,,7302694_32,job7db3566daef9fa85bcbe5d031b6e961c.log_32,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,32,3.12329983711243,169.94150018692,ec3770ae7f439181,run_learner,,classif.cv_glmnet
33,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.259400Z,2026-02-24T17:04:17.720300Z,,,7302694_33,job7db3566daef9fa85bcbe5d031b6e961c.log_33,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,33,1.35889983177185,160.460900068283,ec3770ae7f439181,run_learner,,classif.cv_glmnet
34,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:39.016800Z,2026-02-24T17:04:20.689200Z,,,7302694_34,job7db3566daef9fa85bcbe5d031b6e961c.log_34,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,34,3.11629986763001,161.672399997711,ec3770ae7f439181,run_learner,,classif.cv_glmnet
35,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.259300Z,2026-02-24T17:04:34.251600Z,,,7302694_35,job7db3566daef9fa85bcbe5d031b6e961c.log_35,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,35,1.35879993438721,176.992300033569,ec3770ae7f439181,run_learner,,classif.cv_glmnet
36,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.259900Z,2026-02-24T17:04:17.831100Z,,,7302694_36,job7db3566daef9fa85bcbe5d031b6e961c.log_36,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,36,1.35940003395081,160.571199893951,ec3770ae7f439181,run_learner,,classif.cv_glmnet
37,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.259900Z,2026-02-24T17:05:23.144Z,,,7302694_37,job7db3566daef9fa85bcbe5d031b6e961c.log_37,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,37,1.35940003395081,225.884099960327,ec3770ae7f439181,run_learner,,classif.cv_glmnet
38,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:37.259700Z,2026-02-24T17:04:55.613200Z,,,7302694_38,job7db3566daef9fa85bcbe5d031b6e961c.log_38,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,38,1.35920000076294,198.353499889374,ec3770ae7f439181,run_learner,,classif.cv_glmnet
39,2026-02-24T17:01:35.900500Z,2026-02-24T17:01:39.218700Z,2026-02-24T17:05:22.842700Z,,,7302694_39,job7db3566daef9fa85bcbe5d031b6e961c.log_39,job7db3566daef9fa85bcbe5d031b6e961c,399fa998-45de-446e-baab-bf61c80f0c1a,39,3.31819987297058,223.624000072479,ec3770ae7f439181,run_learner,,classif.cv_glmnet
