grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.auc,classif.acc
51,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,1,1,16381,41,same,2026-02-26T03:25:46.883610Z,2026-02-26T03:35:23.935603Z,1670364,0.962941418717184,0.978034047226798
52,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,2,1,16381,43,same,2026-02-26T02:54:36.173562Z,2026-02-26T03:03:54.462348Z,1670347,0.976521157211985,0.975288303130148
53,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,3,1,16381,45,same,2026-02-26T03:03:54.536417Z,2026-02-26T03:14:01.722314Z,1670347,0.976613816534541,0.973091707852828
54,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,4,1,16381,47,same,2026-02-26T03:14:01.792925Z,2026-02-26T03:23:43.347523Z,1670347,0.959471841861424,0.975288303130148
55,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,5,1,16381,49,same,2026-02-26T03:23:43.378170Z,2026-02-26T03:34:02.945645Z,1670347,0.963028930299598,0.971993410214168
56,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,6,1,16381,51,same,2026-02-26T02:54:37.024988Z,2026-02-26T03:04:58.008950Z,1670353,0.974024503243076,0.973091707852828
57,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,7,1,16381,53,same,2026-02-26T03:04:58.071643Z,2026-02-26T03:15:41.877431Z,1670353,0.970464799076696,0.974161627267729
58,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,8,1,16381,55,same,2026-02-26T03:15:41.901599Z,2026-02-26T03:26:15.428544Z,1670353,0.970349386213408,0.97196261682243
59,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,9,1,16381,57,same,2026-02-26T03:26:15.462774Z,2026-02-26T03:37:00.265471Z,1670353,0.967605707690693,0.975810885101704
5,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,3,1,41408,5,all,2026-02-26T03:48:08.417357Z,2026-02-26T03:50:41.530228Z,1670345,0.97782353546793,0.974190005491488
60,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,10,1,16381,59,same,2026-02-26T03:37:00.293440Z,2026-02-26T03:41:46.241973Z,1670353,0.967285699297032,0.976360637713029
6,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,3,1,41408,6,all,2026-02-26T02:54:30.736965Z,2026-02-26T03:12:26.253770Z,1670350,0.970073780040556,0.975188781014024
7,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,4,1,41408,7,all,2026-02-26T03:12:26.389511Z,2026-02-26T03:27:15.568620Z,1670350,0.961505199217543,0.975288303130148
8,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,4,1,41408,8,all,2026-02-26T03:27:15.618933Z,2026-02-26T03:39:56.265084Z,1670350,0.961910514734435,0.974829198130169
9,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,5,1,41408,9,all,2026-02-26T03:39:56.282641Z,2026-02-26T03:47:22.542134Z,1670350,0.965283640481828,0.969247666117518
