grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.auc,classif.acc
49,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,9,1,16381,38,other,2026-02-26T15:09:23.422802Z,2026-02-26T15:15:46.353481Z,1520,0.965805958747136,0.973741007194245
5,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,3,1,41408,5,all,2026-02-26T15:02:59.159263Z,2026-02-26T15:15:02.977627Z,16172,0.978070626994748,0.974739154310818
50,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,10,1,16381,40,other,2026-02-26T15:15:46.393577Z,2026-02-26T15:21:10.889665Z,1520,0.954992906253411,0.974820143884892
51,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,1,1,16381,41,same,2026-02-26T14:17:11.048012Z,2026-02-26T14:23:35.237718Z,10016,0.962009677751468,0.978034047226798
52,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,2,1,16381,43,same,2026-02-26T14:23:35.291630Z,2026-02-26T14:29:42.100076Z,10016,0.976938124163493,0.975288303130148
53,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,3,1,16381,45,same,2026-02-26T14:29:42.190737Z,2026-02-26T14:36:15.805503Z,10016,0.976613816534541,0.973091707852828
54,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,4,1,16381,47,same,2026-02-26T14:36:15.906273Z,2026-02-26T14:42:28.530047Z,10016,0.959847626891794,0.976386600768808
55,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,5,1,16381,49,same,2026-02-26T14:42:28.635171Z,2026-02-26T14:49:12.223150Z,10016,0.963054669000309,0.971993410214168
56,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,6,1,16381,51,same,2026-02-26T14:49:12.262127Z,2026-02-26T14:55:28.796095Z,10016,0.973890661999382,0.973091707852828
57,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,7,1,16381,53,same,2026-02-26T14:55:28.842097Z,2026-02-26T15:02:04.007850Z,10016,0.971057601510859,0.97306212204508
58,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,8,1,16381,55,same,2026-02-26T15:02:04.077393Z,2026-02-26T15:08:48.307298Z,10016,0.970349386213408,0.97196261682243
59,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,9,1,16381,57,same,2026-02-26T15:08:48.345055Z,2026-02-26T15:15:16.230270Z,10016,0.967605707690693,0.975810885101704
6,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,3,1,41408,6,all,2026-02-26T15:15:03.017256Z,2026-02-26T15:24:32.257435Z,16172,0.970073780040556,0.975188781014024
60,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,10,1,16381,59,same,2026-02-26T15:15:16.262987Z,2026-02-26T15:21:05.935106Z,10016,0.968854265029902,0.975810885101704
7,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,4,1,41408,7,all,2026-02-26T15:24:32.269970Z,2026-02-26T15:29:25.692935Z,16172,0.961793472665499,0.974739154310818
8,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,4,1,41408,8,all,2026-02-26T15:29:25.715272Z,2026-02-26T15:34:04.680749Z,16172,0.961591232687579,0.974469615246314
9,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,5,1,41408,9,all,2026-02-26T15:34:04.692576Z,2026-02-26T15:39:03.390403Z,16172,0.965520436528364,0.970895112575508
