grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.auc,classif.acc
45,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,5,1,16381,30,other,2026-02-24T17:05:25.133544Z,2026-02-24T17:07:53.727051Z,13,0.975311731457911,0.977346278317152
46,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,6,1,16381,32,other,2026-02-24T17:05:26.937409Z,2026-02-24T17:08:01.299407Z,11,0.956819260473745,0.97339086659475
47,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,7,1,16381,34,other,2026-02-24T17:05:31.990683Z,2026-02-24T17:07:55.456376Z,10,0.967223972041248,0.976267529665588
48,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,8,1,16381,36,other,2026-02-24T17:05:32.409680Z,2026-02-24T17:07:29.864148Z,15,0.976116992251445,0.976978417266187
49,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,9,1,16381,38,other,2026-02-24T17:05:32.557307Z,2026-02-24T17:08:01.318357Z,12,0.965805958747136,0.973741007194245
5,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,3,1,41408,5,all,2026-02-24T17:01:18.348082Z,2026-02-24T17:05:49.135588Z,17,0.978111808915886,0.974739154310818
50,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,10,1,16381,40,other,2026-02-24T17:05:34.787930Z,2026-02-24T17:06:30.287067Z,4,0.953681108807159,0.97410071942446
51,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,1,1,16381,41,same,2026-02-24T17:05:44.371941Z,2026-02-24T17:06:49.169946Z,5,0.964480593019665,0.978583196046129
52,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,2,1,16381,43,same,2026-02-24T17:05:49.156793Z,2026-02-24T17:07:28.573555Z,17,0.976521157211985,0.975288303130148
53,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,3,1,16381,45,same,2026-02-24T17:05:53.543065Z,2026-02-24T17:07:16.795260Z,14,0.976613816534541,0.973091707852828
54,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,4,1,16381,47,same,2026-02-24T17:05:54.697467Z,2026-02-24T17:08:08.270333Z,9,0.959471841861424,0.975288303130148
55,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,5,1,16381,49,same,2026-02-24T17:05:57.396717Z,2026-02-24T17:07:24.082996Z,16,0.963384124369401,0.970345963756178
56,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,6,1,16381,51,same,2026-02-24T17:05:58.686008Z,2026-02-24T17:07:15.349580Z,8,0.974024503243076,0.973091707852828
57,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,7,1,16381,53,same,2026-02-24T17:06:04.646200Z,2026-02-24T17:08:09.550417Z,7,0.970637918371629,0.97306212204508
58,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,8,1,16381,55,same,2026-02-24T17:06:06.012096Z,2026-02-24T17:07:28.789232Z,6,0.969882488721015,0.972512369433755
59,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,9,1,16381,57,same,2026-02-24T17:06:08.108526Z,2026-02-24T17:07:12.247095Z,18,0.968513272479278,0.976360637713029
6,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,3,1,41408,6,all,2026-02-24T17:01:18.348886Z,2026-02-24T17:02:59.506666Z,19,0.970466410665746,0.975907946781733
60,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,10,1,16381,59,same,2026-02-24T17:06:10.412905Z,2026-02-24T17:07:05.639748Z,19,0.967159794355262,0.976360637713029
7,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,4,1,41408,7,all,2026-02-24T17:01:18.350983Z,2026-02-24T17:05:32.387291Z,15,0.961505199217543,0.975288303130148
8,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,4,1,41408,8,all,2026-02-24T17:01:18.348309Z,2026-02-24T17:03:03.564534Z,3,0.960969927082884,0.973750449478605
9,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,5,1,41408,9,all,2026-02-24T17:01:18.348886Z,2026-02-24T17:04:15.922712Z,16,0.965252754040977,0.969796814936848
